fixture_name,fixture_software_version,operator_id,timestamd,colors,asset_name,fov_v_deg,fov_h_deg,grill orientation,spatial_frequency_apd,spatial_period_lea_px,ctf_percent,michelson_percentile_min,michelson_percentile_max
Ver.1,Ver.1,mason,1688636578.0142548,G,capture_3_v_G.png,-5.6,0,v,5.63cpd,6pixel,58.0,21,79,
Ver.1,Ver.1,mason,1688636578.0142548,G,capture_1_h_G.png,-5.6,0,h,16.9cpd,2pixel,12.0,21,79,
Ver.1,Ver.1,mason,1688636578.0142548,G,capture_2_h_G.png,-5.6,0,h,8.45cpd,4pixel,29.0,21,79,
Ver.1,Ver.1,mason,1688636578.0142548,G,capture_3_h_G.png,-5.6,0,h,5.63cpd,6pixel,49.0,21,79,
Ver.1,Ver.1,mason,1688636578.0142548,G,capture_1_v_G.png,-5.6,2.8,v,16.9cpd,2pixel,23.0,21,79,
Ver.1,Ver.1,mason,1688636578.0142548,G,capture_2_v_G.png,-5.6,2.8,v,8.45cpd,4pixel,42.0,21,79,
Ver.1,Ver.1,mason,1688636578.0142548,G,capture_3_v_G.png,-5.6,2.8,v,5.63cpd,6pixel,56.0,21,79,
Ver.1,Ver.1,mason,1688636578.0142548,G,capture_1_h_G.png,-5.6,2.8,h,16.9cpd,2pixel,12.0,21,79,
Ver.1,Ver.1,mason,1688636578.0142548,G,capture_2_h_G.png,-5.6,2.8,h,8.45cpd,4pixel,30.0,21,79,
Ver.1,Ver.1,mason,1688636578.0142548,G,capture_3_h_G.png,-5.6,2.8,h,5.63cpd,6pixel,44.0,21,79,
Ver.1,Ver.1,mason,1688636578.0142548,G,capture_1_v_G.png,-5.6,5.6,v,16.9cpd,2pixel,20.0,21,79,
Ver.1,Ver.1,mason,1688636578.0142548,G,capture_2_v_G.png,-5.6,5.6,v,8.45cpd,4pixel,40.0,21,79,
Ver.1,Ver.1,mason,1688636578.0142548,G,capture_3_v_G.png,-5.6,5.6,v,5.63cpd,6pixel,55.0,21,79,
Ver.1,Ver.1,mason,1688636578.0142548,G,capture_1_h_G.png,-5.6,5.6,h,16.9cpd,2pixel,12.0,21,79,
Ver.1,Ver.1,mason,1688636578.0142548,G,capture_2_h_G.png,-5.6,5.6,h,8.45cpd,4pixel,27.0,21,79,
Ver.1,Ver.1,mason,1688636578.0142548,G,capture_3_h_G.png,-5.6,5.6,h,5.63cpd,6pixel,41.0,21,79,
Ver.1,Ver.1,mason,1688636578.0142548,G,capture_1_v_G.png,-2.8,-5.6,v,16.9cpd,2pixel,20.0,21,79,
Ver.1,Ver.1,mason,1688636578.0142548,G,capture_2_v_G.png,-2.8,-5.6,v,8.45cpd,4pixel,41.0,21,79,
Ver.1,Ver.1,mason,1688636578.0142548,G,capture_3_v_G.png,-2.8,-5.6,v,5.63cpd,6pixel,60.0,21,79,
Ver.1,Ver.1,mason,1688636578.0142548,G,capture_1_h_G.png,-2.8,-5.6,h,16.9cpd,2pixel,7.0,21,79,
Ver.1,Ver.1,mason,1688636578.0142548,G,capture_2_h_G.png,-2.8,-5.6,h,8.45cpd,4pixel,30.0,21,79,
Ver.1,Ver.1,mason,1688636578.0142548,G,capture_3_h_G.png,-2.8,-5.6,h,5.63cpd,6pixel,54.0,21,79,
Ver.1,Ver.1,mason,1688636578.0142548,G,capture_1_v_G.png,-2.8,-2.8,v,16.9cpd,2pixel,23.0,21,79,
Ver.1,Ver.1,mason,1688636578.0142548,G,capture_2_v_G.png,-2.8,-2.8,v,8.45cpd,4pixel,43.0,21,79,
Ver.1,Ver.1,mason,1688636578.0142548,G,capture_3_v_G.png,-2.8,-2.8,v,5.63cpd,6pixel,57.0,21,79,
Ver.1,Ver.1,mason,1688636578.0142548,G,capture_1_h_G.png,-2.8,-2.8,h,16.9cpd,2pixel,10.0,21,79,
Ver.1,Ver.1,mason,1688636578.0142548,G,capture_2_h_G.png,-2.8,-2.8,h,8.45cpd,4pixel,31.0,21,79,
Ver.1,Ver.1,mason,1688636578.0142548,G,capture_3_h_G.png,-2.8,-2.8,h,5.63cpd,6pixel,50.0,21,79,
